election_name;property_short_name;value
"Wieliczka, Green Budget, 2023-04";avg_ballot_len;2.54327361068934
"Wieliczka, Green Budget, 2023-04";med_ballot_len;1
"Wieliczka, Green Budget, 2023-04";avg_ballot_cost;125007.00000000007
"Wieliczka, Green Budget, 2023-04";med_ballot_cost;88969.0
"Wieliczka, Green Budget, 2023-04";avg_app_score;261.71875
"Wieliczka, Green Budget, 2023-04";med_app_score;214.0
"Poznań, 8 - Chartowo, Rataje, Żegrze, 8 - Chartowo, Rataje, Żegrze, 2022-10";avg_ballot_len;1.24669088222619
"Poznań, 8 - Chartowo, Rataje, Żegrze, 8 - Chartowo, Rataje, Żegrze, 2022-10";med_ballot_len;1
"Poznań, 8 - Chartowo, Rataje, Żegrze, 8 - Chartowo, Rataje, Żegrze, 2022-10";avg_ballot_cost;959655.3592316677
"Poznań, 8 - Chartowo, Rataje, Żegrze, 8 - Chartowo, Rataje, Żegrze, 2022-10";med_ballot_cost;794000.0
"Poznań, 8 - Chartowo, Rataje, Żegrze, 8 - Chartowo, Rataje, Żegrze, 2022-10";avg_app_score;3375.0
"Poznań, 8 - Chartowo, Rataje, Żegrze, 8 - Chartowo, Rataje, Żegrze, 2022-10";med_app_score;2372.0
"Poznań, Green Budget, 2022-10";avg_ballot_len;1.0
"Poznań, Green Budget, 2022-10";med_ballot_len;1
"Poznań, Green Budget, 2022-10";avg_ballot_cost;1785725.6061059614
"Poznań, Green Budget, 2022-10";med_ballot_cost;2000000.0
"Poznań, Green Budget, 2022-10";avg_app_score;3644.7272727272725
"Poznań, Green Budget, 2022-10";med_app_score;1326.0
"Poznań, 5 - Grunwald Północ, Grunwald Południe, Stary Grunwald, 5 - Grunwald Północ, Grunwald Południe, Stary Grunwald, 2022-10";avg_ballot_len;1.0915511242665015
"Poznań, 5 - Grunwald Północ, Grunwald Południe, Stary Grunwald, 5 - Grunwald Północ, Grunwald Południe, Stary Grunwald, 2022-10";med_ballot_len;1
"Poznań, 5 - Grunwald Północ, Grunwald Południe, Stary Grunwald, 5 - Grunwald Północ, Grunwald Południe, Stary Grunwald, 2022-10";avg_ballot_cost;698106.5067248266
