election_name;rule_abbreviation;outcome
"Łódź, Julianów-Marysin-Rogi, Bałuty, 2022-10";greedy_card;B018JM#%#%#B088JM#%#%#B120JM#%#%#B166JM#%#%#B168JM#%#%#B170JM#%#%#B173JM
"Łódź, Julianów-Marysin-Rogi, Bałuty, 2022-10";greedy_cost;B078JM#%#%#B166JM
"Łódź, Julianów-Marysin-Rogi, Bałuty, 2022-10";greedy_cc;B018JM#%#%#B088JM#%#%#B120JM#%#%#B166JM#%#%#B168JM#%#%#B170JM#%#%#B173JM
"Łódź, Julianów-Marysin-Rogi, Bałuty, 2022-10";max_card;B032JM#%#%#B120JM#%#%#B166JM#%#%#B168JM#%#%#B170JM#%#%#B173JM
"Łódź, Julianów-Marysin-Rogi, Bałuty, 2022-10";max_cost;B078JM#%#%#B166JM
"Łódź, Julianów-Marysin-Rogi, Bałuty, 2022-10";mes_uncompleted;B120JM#%#%#B166JM#%#%#B168JM
"Łódź, Julianów-Marysin-Rogi, Bałuty, 2022-10";mes;B032JM#%#%#B120JM#%#%#B166JM#%#%#B168JM#%#%#B170JM#%#%#B173JM
"Łódź, Julianów-Marysin-Rogi, Bałuty, 2022-10";mes_greedy_cost;B032JM#%#%#B120JM#%#%#B150JM#%#%#B166JM#%#%#B168JM
"Łódź, Julianów-Marysin-Rogi, Bałuty, 2022-10";seq_phragmen;B018JM#%#%#B088JM#%#%#B120JM#%#%#B166JM#%#%#B168JM#%#%#B170JM#%#%#B173JM
"Warszawa, Mokotów, Mokotów, 2020-09";greedy_card;1019#%#%#1039#%#%#1062#%#%#1065#%#%#1069#%#%#1118#%#%#1142#%#%#1173#%#%#1194#%#%#1229#%#%#1303#%#%#1310#%#%#1315#%#%#1317#%#%#1330#%#%#1332#%#%#1356#%#%#137#%#%#1445#%#%#1446#%#%#1460#%#%#1476#%#%#1480#%#%#1547#%#%#1578#%#%#1601#%#%#1728#%#%#1730#%#%#1749#%#%#1786#%#%#1792#%#%#1824#%#%#1878#%#%#1990#%#%#2005#%#%#2011#%#%#2022#%#%#2062#%#%#2100#%#%#213#%#%#2161#%#%#2168#%#%#2174#%#%#2189#%#%#226#%#%#25#%#%#379#%#%#457#%#%#463#%#%#477#%#%#498#%#%#506#%#%#508#%#%#510#%#%#527#%#%#579#%#%#630#%#%#631#%#%#632#%#%#634#%#%#7#%#%#762#%#%#869#%#%#88#%#%#899#%#%#953#%#%#971#%#%#984#%#%#989
"Warszawa, Mokotów, Mokotów, 2020-09";greedy_cost;1027#%#%#1062#%#%#1117#%#%#1315#%#%#1601#%#%#1680#%#%#1749#%#%#2061#%#%#2062#%#%#213#%#%#2161#%#%#226#%#%#457#%#%#498#%#%#579#%#%#631#%#%#762#%#%#88#%#%#902#%#%#971#%#%#984#%#%#989
